stim,angle,radius
1,-20.84275308,-36.88849953
2,-24.53495333,-12.0763604
3,-26.47077232,11.92758930596587
4,-23.83479794,30.479004461502832
5,-16.71390068,50.111230393533226
6,-3.854444584,-37.8392214
7,-6.953638003,-14.02238557
8,-8.995342757,8.387433417892344
9,-5.541832691,31.078908579096378
10,-1.732665378,46.70107673091564
11,13.264524555129096,-38.2203846
12,9.177647168036223,-16.07892918
13,9.818056926810664,7.222251006984481
14,8.045214428,27.52140038259675
15,12.129448921922751,51.77476957
16,30.19684495481618,-38.42373928
17,26.21866752665977,-14.79865055
18,26.821232143487904,6.976824754974014
19,26.34861461926153,27.630709460791525
20,26.147111754107716,43.968605849388084
21,45.13982813678688,-35.30081098
22,41.88083319458841,-14.98800492
23,38.21996555398914,5.057706707981728
24,37.711620004897426,24.312906402878212
25,38.35549087886737,42.56620206713007